source,date,company,executive,figure,figure_usd,pay_ratio,median_employee_usd,context,url
register,2026-08-24,Xero,Sukhinder Singh Cassidy,NZ$30.9m,18540000,,,Share price down roughly 47% over the prior year; 70%+ of shareholders initially opposed the package.,https://www.nzherald.co.nz/business/xero-ceos-309m-pay-package-frustrates-nz-shareholders-association-on-back-of-share-price-dive/premium/FACSC6KHEBA3XHSV3J2ODXEWIM/
register,2026-08-20,Spark,Jolie Hodson,NZ$886k,531600,,,"Awarded in a year the company cut 627 staff, taking headcount to 3,416 from 4,043 — and from 5,343 two years earlier.",https://www.nzherald.co.nz/business/spark-reports-an-inline-result-loses-another-600-staff-ceo-scores-900k-in-bonuses/premium/UQSYTVLD5VHELI7VZ2LRUQAFKE/
register,2026-08,Telstra,Vicki Brady,A$6.8m,4488000,,,"The 8 July outage left millions unable to connect and hundreds unable to reach Triple Zero, the emergency number. Telstra cut more than 1,200 jobs in the same twelve months, against falling revenue. Further accountability measures were deferred pending an external review.",https://www.abc.net.au/news/2026-08-13/asx-markets-business-live-news/107030738
register,2026-07,Severn Trent,James Jesic,£4.8m,6096000,,,"Around 36,000 sewage spills lasting more than 200,000 hours in 2025, and more than 300 pollution incidents in 2024, while customers face higher bills. MPs co-signed a letter urging the company to reconsider, saying it does not feel appropriate while customers face higher water bills and waterways suffer persistent sewage pollution.",https://www.birminghamworld.uk/news/this-does-not-feel-appropriate-mp-wants-rethink-over-severn-trents-increased-ceo-bonus-plans-8800356
register,2026-07,Anglian Water,Mark Thurston,£1.9m,2413000,,,"Anglian was the only water company in England and Wales to record more than 1,000 pollution incidents in both 2024 and 2025.",https://www.lbc.co.uk/article/sewage-anglian-water-uk-mark-thurston-5HjdfHF_2/
register,2026-07,Electronic Arts,Andrew Wilson,US$38.65m,38650000,,,"305 times the median EA employee's US$126,612, in the year EA restructured Battlefield Studios and laid off staff across four development teams. The company credits the rise to hitting targets on Battlefield 6, EA Sports FC and Skate.",https://www.stocktitan.net/sec-filings/EA/10-k-a-electronic-arts-inc-amends-annual-report-39d201ea7fcb.html
register,2026-06,Absa Group,Kenny Fihla,R148m (US$9m),9000000,,,"Almost 43% of shareholders voted against the remuneration policy at the AGM. Under South African governance rules any vote of 25% or more compels the company to engage formally with dissenting investors. Shareholders objected to the size, timing and structure, given Fihla had not yet had the chance to show results.",https://www.enca.com/business-top-stories/absa-faces-investor-revolt-over-ceos-r148m-pay
register,2026-06,Welltower,Shankh Mitra,US$821m,821000000,,,"Shareholders rejected it, with only 19% in favour — one of the most lopsided repudiations of a sitting chief executive's pay on record. ISS urged investors to vote it down, calling the award extraordinary.",https://therealdeal.com/national/2026/06/29/welltowers-821m-ceo-payday-sparks-backlash-despite-big-run/
register,2026-06,Snowflake,Sridhar Ramaswamy,US$448m,448000000,,,"Shareholders gave the pay report about 30% support in 2025. The company ran an outreach campaign in response, then lost the vote again at the June 2026 annual meeting.",https://finance.yahoo.com/markets/stocks/articles/snowflake-unveils-448-million-pay-115142537.html
register,2026-06,Palo Alto Networks,Nikesh Arora,US$151m,151000000,,,"Shareholders have voted down Palo Alto's pay report seven times since 2015, more than any other company in the S&P 500, and rejected it again in 2026 in a year the stock rose 38%. Arora points to an 800% share price gain since 2018.",https://finance.yahoo.com/markets/stocks/articles/palo-alto-ceo-pay-now-121504850.html
register,2026-06,IQVIA,Ari Bousbib,US$28m,28000000,,,It drew 24.8% support — the lowest of any failed say-on-pay vote in the 2026 season. Excessive granting practices were at the centre of all four failed S&P 500 votes that year.,https://www.boardroomalpha.com/research/ceo-pay-25-million-club-2026
register,2026-06,ARN Media,Kyle Sandilands,A$12.09m,7979400,,,"ARN axed the show and made staff redundant across KIIS FM, with employees saying they were blindsided. The company's market value fell below A$100m — less than the face value of the single contract it had signed.",https://www.abc.net.au/news/2026-06-17/nsw-kyle-sandilands-arn-media-termination-settlement/106808382
register,2026-06,Nationwide Building Society,Debbie Crosbie,£4.67m,5930900,,,"Nationwide has no shareholders and sixteen million members, and it did not let them vote on the £2.9bn purchase of Virgin Money — the largest bank merger in Britain since the financial crisis — on the grounds that neither its own rules nor the Building Societies Act required one. Members raised a petition and demanded a special general meeting; the board declined and completed the deal in October 2024. When a customer stood for the board, the first to do so in twenty-four years, the board recommended that members vote against him.",https://uk.finance.yahoo.com/news/nationwide-boss-sees-pay-packet-140220084.html
register,2026-05,Wayfair,Niraj Shah,US$280.8m,280800000,,,"Roughly 990 times the US$283,145 he was paid the year before, technically attached to an US$80,000 salary.",https://www.fool.com/investing/how-to-invest/top-ceos/highest-paid-ceos/
register,2026-05,Snowy Hydro,Dennis Barnes,A$323k,213180,,,"Snowy 2.0 is years overdue and its budget has gone from A$2bn to A$12bn — a blowout of roughly A$3m a day. The bonuses were paid in September, a month before Snowy Hydro confirmed the project would exceed even the A$10bn overrun it had already acknowledged. Auditors subsequently found the project was not holding contractors accountable.",https://www.abc.net.au/news/2026-05-22/snowy-hydro-executives-get-million-dollar-plus-in-bonus-pay/106704734
